,0
0,tweets
1,rt
2,april
3,foolâ
4,prank
5,ever
6,top
7,‚
8,rt
9,need
10,information
11,home
12,care
13,covid
14,positive
15,asthma
16,patient
17,male
18,43
19,pls
20,send
21,lead
22,thread
23,april
24,fool
25,rt
26,#superjuniorâ
27,#kyuhyun
28,shares
29,teasers
30,much
31,awaited
32,new
33,song
34,#coffee
35,april
36,13
37,p
38,kst
39,‘
40,“
41,•
42,’
43,1ï
44,âƒ
45,£
46,3ï
47,âƒ
48,£
49,•
50,•
51,rt
52,entries
53,distance
54,night
55,2021
56,open
57,monday
58,april
59,run
60,saturday
61,night
62,may
63,info
64,come
65,soon
66,iâ
67,april
68,fools
69,day
70,know
71,day
72,come
73,check
74,‘
75,‡
76,rt
77,april
78,rt
79,aoj
80,v
81,10th
82,planet
83,two
84,prodigy
85,wno
86,vet
87,face
88,think
89,take
90,team
91,april
92,30
93,wno
94,jâ
95,rt
96,april
97,month
98,bloom
99,rt
100,wasnâ
101,good
102,dog
103,today
104,april
105,fool
106,good
107,10
108,rt
109,april
110,2021
111,mean
112,dad
113,carry
114,drawing
115,chibi
116,usa
117,make
118,wallet
119,twenty
120,year
121,straiâ
122,11
123,rt
124,sex
125,³
126,april
127,fool
128,12
129,yes
130,eventually
131,happen
132,april
133,30th
134,even
135,old
136,13
137,rt
138,know
139,first
140,black
141,model
142,solo
143,model
144,member
145,website
146,know
147,co-owned
148,webcam
149,company
150,backâ
151,14
152,rt
153,lose
154,36
155,pound
156,increase
157,water
158,intake
159,oh
160,sorry
161,0.36
162,pound
163,ha
164,ha
165,..
166,er
167,april
168,fool
169,15
170,rt
171,april
172,foolâ
173,prank
174,ever
175,top
176,‚
177,16
178,rt
179,really
180,ainâ
181,see
182,april
183,fool
184,jokesğÿ
185,‚
186,‚
187,‚
188,mf
189,dead
190,serious
191,shit
192,funny
193,year
194,‚
195,‚
196,‚
197,‚
198,‚
199,‚
200,‚
201,‚
202,‚
203,‚
204,‚
205,‚
206,‚
207,‚
208,‚
209,‚
210,‚
211,‚
212,‚
213,‚
214,‚
215,‚
216,‚
217,‚
218,17
219,may
220,april
221,bring
222,peace
223,mind
224,constantly
225,chase
226,18
227,rt
228,âœ
229,mini
230,april
231,predictionsğÿ
232,’
233,reap
234,benefit
235,use
236,voice
237,reignite
238,flame
239,‘
240,know
241,toâ
242,19
243,forget
244,april
245,fool
246,day
247,lol
248,20
249,rt
250,local
251,grocery
252,put
253,eye
254,produce
255,april
256,fool
257,suppose
258,chop
259,eat
260,httâ
261,21
262,april
263,fool
264,happy
265,22
266,rt
267,way
268,since
269,april
270,fool
271,people
272,might
273,try
274,make
275,click
276,link
277,course
278,it'll
279,probably
280,aâ
281,23
282,post
283,april
284,fools
285,joke
286,day
287,early
288,24
289,rt
290,update
291,april
292,1st
293,2021
294,25
295,rt
296,whosfan
297,4th
298,week
299,april
300,celebrate
301,times
302,square
303,birthday
304,vote
305,#jay
306,“
307,â€¦
308,26
309,rt
310,sykkunoâ
311,idea
312,april
313,fool
314,joke
315,waterbillâ
316,pay
317,people
318,27
319,april
320,foolâ
321,joke
322,guy
323,play
324,today
325,©
326,©
327,like
328,sir
329,grow
330,pls
331,28
332,rt
333,april
334,fool
335,29
336,happy
337,april
338,fool
339,day
340,­
341,30
342,rt
343,aprilâ
344,fool
345,31
346,rt
347,update
348,new
349,incident
350,april
351,two
352,muslim
353,men
354,attack
355,iron
356,rod
357,hindutva
358,mob
359,karnataka
360,â€¦
361,32
362,hate
363,prank
364,hate
365,april
366,fool's
367,day
368,33
369,rt
370,april
371,fools
372,day
373,letâ
374,remember
375,joke
376,gop
377,become
378,34
379,rt
380,wasnâ
381,good
382,dog
383,today
384,april
385,fool
386,good
387,35
388,rt
389,case
390,anyone
391,wonder
392,actually
393,crypto
394,ill-timed
395,april
396,fool
397,joke
398,like
399,share
400,donâ
401,36
402,rt
403,thread
404,funny
405,april
406,fool
407,joke
408,37
409,rt
410,april
411,1st
412,mean
413,usopp's
414,birthday
415,³
416,38
417,totally
418,forget
419,april
420,fool
421,39
422,rt
423,base
424,problem
425,cobb
426,gop
427,send
428,email
429,member
430,today
431,say
432,republican
433,brad
434,raffensperger
435,go
436,headline
437,thâ
438,40
439,weâ
440,april
441,fool
442,think
443,41
444,rt
445,happy
446,april
447,fools
448,day
449,forecast
450,balmy
451,high
452,280s
453,across
454,region
455,enjoy
456,µ
457,#pawx
458,#njwx
459,#mdwx
460,#dewxâ
461,42
462,rt
463,realize
464,youâ
465,fool
466,happy
467,april
468,fool
469,‚
470,attack
471,titan
472,43
473,rt
474,release
475,photo
476,jaebeom
477,star
478,april
479,2021
480,©
481,44
482,roy
483,leaving
484,dodgers
485,lose
486,opening
487,day
488,lakers
489,trash
490,way
491,start
492,april
493,:(
494,45
495,rt
496,ghosts
497,arenâ
498,real
499,april
500,foolâ
501,bitch
502,46
503,rt
504,absolute
505,crazy
506,month
507,member
508,manage
509,secure
510,"250,000"
511,profit
512,sneaker
513,card
514,consolesâ
515,47
516,rt
517,star
518,magazine
519,april
520,2021
521,#jayb
522,48
523,rt
524,april
525,women's
526,history
527,chain
528,cannot
529,hold
530,us
531,brother
532,49
533,rt
534,they're
535,still
536,argue
537,happy
538,april
539,fools
540,everyone
541,thanks
542,7k
543,follower
544,#metroid35
545,#samus
546,#nintendo
547,#blender3d
548,httpâ
549,50
550,rt
551,race
552,report
553,best
554,april
555,foolâ
556,joke
557,ever
558,´
559,½
560,‚
561,#sewellreport
562,51
563,rt
564,april
565,1st
566,thereâ
567,fool
568,white
569,house
570,52
571,rt
572,wonâ
573,participating
574,april
575,fools
576,today
577,..
578,bio
579,say
580,:(
581,53
582,rt
583,vote
584,#haechan
585,duck
586,ad's
587,april
588,ranking
589,—
590,“
591,4/1
592,4/31
593,11:59
594,pm
595,kst
596,‡
597,lotte
598,cinema
599,hall
600,ad
601,ˆsubway
602,ad
603,month
604,suâ
605,54
606,allow
607,flip
608,shit
609,gym
610,class
611,april
612,fool
613,dimple
614,lovebot
615,layout
616,yâ
617,leave
618,kennel
619,open
620,55
621,hate
622,april
623,1st
624,like
625,invent
626,april's
627,fools
628,b
629,56
630,rt
631,april
632,fools
633,giveaway
634,‚
635,lucky
636,winner
637,âœ
638,kazz
639,177
640,tay
641,arm
642,unsealed
643,rules
644,rt
645,like
646,tweet
647,follow
648,uâ
649,57
650,rt
651,entirely
652,sad
653,angry
654,april
655,truths
656,58
657,april
658,fool's
659,59
660,rt
661,update
662,money
663,heist
664,season
665,april
666,60
667,rt
668,music
669,write
670,compose
671,arrange
672,day
673,april
674,2021
675,#day6
676,ë
677,°
678,ì
679,´
680,ì
681,‹
682,ìš
683,61
684,rt
685,best
686,look
687,yet
688,2021
689,air
690,jordan
691,raging
692,bull
693,must
694,cop
695,april
696,10th
697,â€¦
698,62
699,thank
700,yes
701,unexpected
702,really
703,good
704,news
705,wife
706,really
707,gratefuâ
708,63
709,rt
710,welcome
711,april
712,katycats
713,y'all
714,ready
715,electric
716,âš
717,¡
718,64
719,rt
720,really
721,ainâ
722,see
723,april
724,fool
725,jokesğÿ
726,‚
727,‚
728,‚
729,mf
730,dead
731,serious
732,shit
733,funny
734,year
735,‚
736,‚
737,‚
738,‚
739,‚
740,‚
741,‚
742,‚
743,‚
744,‚
745,‚
746,‚
747,‚
748,‚
749,‚
750,‚
751,‚
752,‚
753,‚
754,‚
755,‚
756,‚
757,‚
758,‚
759,65
760,happen
761,happiness
762,scroll
763,april
764,fools
765,fill
766,twenty
767,somethings
768,whine
769,aprilâ
770,66
771,rt
772,210402
773,jaebeom
774,star
775,magazine
776,april
777,2021
778,upvote
779,recommend
780,article
781,naver
782,hâ
783,67
784,rt
785,andrew
786,quilty
787,break
788,significant
789,news
790,mustnâ
791,ignore
792,since
793,brereton
794,report
795,dozen
796,new
797,claim
798,killâ
799,68
800,ah
801,april
802,fool
803,wacky
804,kid
805,accidentally
806,get
807,high
808,leave
809,get
810,stuff
811,make
812,dinner
813,make
814,grilledâ
815,69
816,rt
817,april
818,fool
819,70
820,rt
821,wasnâ
822,good
823,dog
824,today
825,april
826,fool
827,good
828,71
829,rt
830,april
831,1st
832,set
833,monthly
834,goal
835,stay
836,pray
837,focus
838,72
839,rt
840,april
841,fool
842,tomorrow
843,hoe
844,always
845,joke
846,73
847,rt
848,april
849,good
850,meâ
851,74
852,wait
853,till
854,law
855,order
856,organized
857,crime
858,airs
859,april
860,"02,2020"
861,75
862,rt
863,new
864,burna
865,boy
866,single
867,month
868,feature
869,feature
870,anybody
871,april
872,fool
873,76
874,rt
875,âœ
876,mini
877,april
878,predictionsğÿ
879,’
880,ˆï
881,conquering
882,fear
883,unplug
884,unwind
885,šï
886,thing
887,‹
888,œï
889,tâ
890,77
891,rt
892,department
893,state
894,proud
895,recognize
896,april
897,national
898,arab
899,american
900,heritage
901,month
902,americans
903,ofâ
904,78
905,rt
906,jacqueline
907,rathore
908,hair
909,makeup
910,artist
911,netflix's
912,witcher
913,reveal
914,season
915,filming
916,expect
917,wrap
918,today
919,79
920,rt
921,reading
922,every
923,tweet
924,april
925,1st
926,like
927,80
928,swear
929,april
930,fools
931,joke
932,81
933,rt
934,wife
935,mary
936,hughson
937,k
938,gigot
939,paint
940,gorgeous
941,montreal
942,sunrise
943,cheer
944,us
945,easter
946,weekend
947,looâ
948,82
949,rt
950,april
951,smell
952,like
953,success
954,83
955,wouldâ
956,laugh
957,betts
958,hit
959,grand
960,slam
961,win
962,end
963,dodgers
964,say
965,april
966,foolsâ
967,‚
968,84
969,rt
970,really
971,funny
972,incredible
973,news
974,come
975,april
976,first
977,able
978,tell
979,soon
980,today
981,ainâ
982,day
983,thougâ
984,85
985,rt
986,im
987,foo
988,april
989,fool
990,86
991,hilarious
992,april
993,fool's
994,prank
995,body
996,87
997,rt
998,april
999,fool
1000,whole
1001,life
1002,joke
1003,88
1004,rt
1005,40
1006,¹
1007,rp
1008,"540,000"
1009,¹
1010,"1,840"
1011,php
1012,rt
1013,like
1014,follow
1015,turn
1016,notifs
1017,us
1018,post
1019,proof
1020,ˆenâ
1021,89
1022,rt
1023,los
1024,angeles
1025,saturday
1026,april
1027,10th
1028,2:30
1029,pm
1030,media
1031,event
1032,organizer
1033,#weareallassange
1034,#fuckcensorâ
1035,90
1036,rt
1037,april
1038,fool
1039,91
1040,rt
1041,ares
1042,proud
1043,host
1044,big
1045,giveaway
1046,dear
1047,follower
1048,investor
1049,winner
1050,reward
1051,1bnb
1052,folloâ
1053,92
1054,rt
1055,thread
1056,funny
1057,april
1058,fool
1059,joke
1060,93
1061,rt
1062,april
1063,fool
1064,life
1065,joke
1066,²
1067,94
1068,rt
1069,really
1070,funny
1071,april
1072,fool
1073,joke
1074,would
1075,raise
1076,enough
1077,money
1078,buy
1079,car
1080,driving
1081,end
1082,countryâ
1083,95
1084,rt
1085,april
1086,foolâ
1087,prank
1088,ever
1089,top
1090,‚
1091,96
1092,rt
1093,dimash
1094,dimash
1095,golden
1096,mv
1097,dimash
1098,kieli
1099,meken
1100,#dimashbewithme
1101,#dimashqudaibergen
1102,april
1103,officialâ
1104,97
1105,rt
1106,april
1107,baby
1108,98
1109,suck
1110,april
1111,fool
1112,canâ
1113,lie
1114,99
1115,rt
1116,j-hope
1117,try
1118,pull
1119,#aprilfoolsday
1120,prank
1121,catch
1122,red
1123,head
1124,100
1125,rt
1126,wasnâ
1127,good
1128,dog
1129,today
1130,april
1131,fool
1132,good
1133,101
1134,umps
1135,game
1136,±
1137,april
1138,fool
1139,win
1140,book
1141,102
1142,rt
1143,april
1144,fools
1145,day
1146,letâ
1147,remember
1148,joke
1149,gop
1150,become
1151,103
1152,rt
1153,bleppy
1154,preview
1155,piece
1156,remember
1157,pre-orders
1158,still
1159,open
1160,18th
1161,april
1162,get
1163,yourâ
1164,104
1165,rt
1166,anime
1167,fan
1168,feel
1169,pain
1170,april
1171,fool
1172,105
1173,funny
1174,little
1175,april
1176,fool
1177,joke
1178,106
1179,rt
1180,april
1181,month
1182,rebirth
1183,regrowth
1184,renewal
1185,107
1186,rt
1187,âœ
1188,tgid
1189,thank
1190,god
1191,doyoung
1192,dayâœ
1193,“
1194,†
1195,friday
1196,april
1197,2021
1198,°
1199,theme
1200,doyoung
1201,gongmyung
1202,dongdong
1203,brother'sğÿ
1204,’
1205,#nctë
1206,„
1207,ì
1208,#doyoungâ
1209,108
1210,april
1211,fools
1212,today
1213,mark
1214,six
1215,year
1216,since
1217,day
1218,fire
1219,burgle
1220,shoutout
1221,colleague
1222,tookâ
1223,109
1224,ain't
1225,even
1226,april
1227,fool's
1228,110
1229,rt
1230,’
1231,’
1232,’
1233,’
1234,’
1235,’
1236,’
1237,’
1238,’
1239,’
1240,’
1241,’
1242,’
1243,’
1244,’
1245,’
1246,’
1247,’
1248,’
1249,’
1250,’
1251,’
1252,’
1253,’
1254,’
1255,’
1256,’
1257,people
1258,april
1259,fool
1260,prank
1261,aquarius
1262,gemini
1263,pisces
1264,aries
1265,virgo
1266,sagittarius
1267,peopleâ
1268,111
1269,rt
1270,april
1271,2021
1272,mean
1273,dad
1274,carry
1275,drawing
1276,chibi
1277,usa
1278,make
1279,wallet
1280,twenty
1281,year
1282,straiâ
1283,112
1284,rt
1285,insane
1286,idiot
1287,cancel
