,Tweets
0,RT @AngelaC51335397: Happy Jelly belly Friday dear friends. We hope you have a wonderful day full of love and happiness ❤You are amazing an…
1,RT @Timodc: My take on Georgia. The entire existence of the legislation in question is premised on a pernicious lie. And pretty much everyo…
2,"RT @fakeshoredrive: Happy GOOD Friday

Here’s your yearly reminder that we still need every GOOD Friday release on every streaming platform…"
3,"RT @SB19Official: 🎉#SB19WhatMV7Million

Big shoutout to all of the people who keep on sharing our music with the world. We hope you're also…"
4,"RT @StarrRinko: @Jan4Jesus45
@digi11111
@BustersBrew
@Bree1914
@Shannonlovesusa
@BuckBond4
@Jacfam2
@StarrRinko
@arielangel1063
@MichelleMa…"
5,"SAINT JOHN - It wasn't the best Friday for the Saint John Sea Dogs but it was... a Good Friday.

My column:"
6,"RT @DustinBenge: Good Friday is not a day of despair!

The blood of Jesus is the believers:

Redemption (Eph 1:7),
Propitiation (Rom 3:25),…"
7,RT @NejireeKun: I miss Fire Force and now Jujutsu Kaisen Friday’s 😔 https://t.co/vGBve6TSqV
8,RT @mad_breadloaf: Ain’t it a Good Friday? https://t.co/IVInCZccm8
9,"RT @osynthesia: Happy Dot Friday everybody!
#animaniacs #yakko #yakkowarner #wakko #wakkowarner #dot #dotwarner #zanytwt https://t.co/aLnDM…"
10,Every Friday I look forward to seeing the new @TrashTastePod episode (:
11,Sami Zayn brings Logan Paul to his Red Carpet Premiere this Friday https://t.co/WFSn4TXRXS via @wwe
12,"RT @GovAndyBeshear: On Friday, Gov. Beshear reported 690 new #COVID19 cases and a positivity rate of 3.08%. The Governor also announced 1.4…"
13,RT @EternalDago: Pontius Pilate on the first Good Friday:
14,"oh, you attend a university where you can be out without consequences from the institution itself? well i attend a… https://t.co/gMGmZmS2sG"
15,RT @AsmLuzRivas: My office has received numerous calls from residents concerning the accumulation of trash on the 210 Freeway Hubbard Stree…
16,RT @DangeRussWilson: GOOD FRIDAY!!!
17,Happy Good Friday and Long weekend 😊 https://t.co/Zr7qvBSGcf
18,The weekend is here and we're in for a relaxing Friday nigth! Come chill with some Stardew Valley! Might switch to… https://t.co/PPlMyXEwP0
19,"Let the Count Down Begin. Since it's good Friday, wanted to give everyone a special treat.

New pod dropping at 8:3… https://t.co/Hkph37kKTQ"
20,It's Friday night so there are no rules.
21,GIVEAWAY FRIDAY!  502/500 FOLLOWERS! #TWITCHPARTNERGRIND https://t.co/NqZjEVPxeq
