,0
0,tweets
1,rt
2,happy
3,jelly
4,belly
5,friday
6,dear
7,friend
8,hope
9,wonderful
10,day
11,full
12,love
13,happiness
14,amaze
15,anâ
16,rt
17,take
18,georgia
19,entire
20,existence
21,legislation
22,question
23,premise
24,pernicious
25,lie
26,pretty
27,much
28,everyoâ
29,rt
30,happy
31,good
32,friday
33,hereâ
34,yearly
35,reminder
36,still
37,need
38,every
39,good
40,friday
41,release
42,every
43,streaming
44,platformâ
45,rt
46,#sb19whatmv7million
47,big
48,shoutout
49,people
50,keep
51,share
52,music
53,world
54,hope
55,alsoâ
56,rt
57,saint
58,john
59,best
60,friday
61,saint
62,john
63,sea
64,dogs
65,good
66,friday
67,column
68,rt
69,good
70,friday
71,day
72,despair
73,blood
74,jesus
75,believer
76,redemption
77,eph
78,1:7
79,propitiation
80,rom
81,3:25
82,rt
83,miss
84,fire
85,force
86,jujutsu
87,kaisen
88,fridayâ
89,rt
90,ainâ
91,good
92,friday
93,rt
94,happy
95,dot
96,friday
97,everybody
98,#animaniacs
99,#yakko
100,#yakkowarner
101,#wakko
102,#wakkowarner
103,#dot
104,#dotwarner
105,#zanytwt
106,â€¦
107,10
108,every
109,friday
110,look
111,forward
112,see
113,new
114,episode
115,(:
116,11
117,sami
118,zayn
119,bring
120,logan
121,paul
122,red
123,carpet
124,premiere
125,friday
126,via
127,12
128,rt
129,friday
130,gov
131,beshear
132,report
133,690
134,new
135,#covid19
136,case
137,positivity
138,rate
139,3.08
140,governor
141,also
142,announce
143,1.4
144,13
145,rt
146,pontius
147,pilate
148,first
149,good
150,friday
151,14
152,oh
153,attend
154,university
155,without
156,consequence
157,institution
158,well
159,attend
160,aâ
161,15
162,rt
163,office
164,receive
165,numerous
166,call
167,resident
168,concern
169,accumulation
170,trash
171,210
172,freeway
173,hubbard
174,streeâ
175,16
176,rt
177,good
178,friday
179,17
180,happy
181,good
182,friday
183,long
184,weekend
185,š
186,18
187,weekend
188,we're
189,relaxing
190,friday
191,nigth
192,come
193,chill
194,stardew
195,valley
196,might
197,switch
198,toâ
199,19
200,let
201,count
202,begin
203,since
204,good
205,friday
206,want
207,give
208,everyone
209,special
210,treat
211,new
212,pod
213,drop
214,8:
215,3â
216,20
217,friday
218,night
219,rule
220,21
221,giveaway
222,friday
223,502/500
224,followers
225,#twitchpartnergrind
226,22
227,rt
228,good
229,friday
230,remember
231,death
232,penalty
233,jesus
234,might
235,still
236,around
237,23
238,rt
239,good
240,friday
241,join
242,christians
243,everywhere
244,remember
245,sacrifice
246,lord
247,savior
248,jesus
249,christ
250,madâ
251,24
252,johnny
253,b's
254,punk
255,rock
256,kitchen
257,disco
258,#296
259,friday
260,fall
261,43
262,track
263,genius
264,kind
265,eastery
266,eh
267,25
268,rt
269,thank
270,#retweet
271,springtime
272,company
273,hire
274,#executives
275,26
276,mass
277,celebrate
278,good
279,friday
280,27
281,good
282,friday
283,indeed
284,sweet
285,bun
286,’
287,’
288,—
289,#brighamcade
290,#evelynmonroe
291,#futurebfgf
292,#fingerscrossed
293,longview
294,teâ
295,28
296,would
297,nice
298,get
299,g
300,friday
301,track
302,today
303,29
304,rt
305,friday
306,night
307,raffle
308,follow
309,author
310,retweet
311,6pm
312,4/3
313,chance
314,win
315,#wish
316,’
317,œğÿœÿğÿ
318,’
319,œğÿœÿğÿ
320,’
321,œğÿœÿğÿ
322,’
323,œğÿœÿğÿ
324,’
325,œğÿœÿğÿ
326,’
327,œğÿœÿğÿ
328,’
329,œğÿœÿğÿ
330,’
331,œğÿœÿğÿ
332,’
333,œğÿœÿâ
334,30
335,rt
336,judas
337,still
338,friday
339,jesus
340,friday
341,judas
342,yeah
343,last
344,supper
345,jesus
346,judas
347,supper
348,normal
349,supper
350,witâ
351,31
352,happy
353,good
354,friday
355,yalll
356,32
357,two
358,thumb
359,try
360,go
361,post
362,office
363,good
364,friday
365,33
366,rt
367,nurses
368,aged
369,care
370,vaccinate
371,fed
372,govt
373,tell
374,get
375,line
376,gp
377,clinic
378,everyonâ
379,34
380,excite
381,beer
382,switch
383,lay
384,low
385,mode
386,use
387,break
388,hope
389,friday
390,night
391,good
392,tgif
393,35
394,rt
395,friday
396,day
397,spaceship
398,let's
399,another
400,one
401,..
402,special
403,one
404,idea
405,basically
406,go
407,straightâ
408,36
409,rt
410,“
411,¹
412,highlights
413,pope
414,francis
415,lead
416,way
417,cross
418,feature
419,meditation
420,prepare
421,child
422,st
423,peter's
424,square
425,goodâ
426,37
427,spend
428,friday
429,evening
430,think
431,ronan
432,go
433,barn
434,dream
435,wouldnâ
436,dream
437,bee
438,neaâ
439,38
440,rt
441,happy
442,good
443,friday
444,friends
445,jesus
446,die
447,us
448,39
449,rt
450,look
451,jesus
452,tolerate
453,throw
454,insult
455,inflicted
456,pain
457,good
458,friday
459,hurt
460,grudge
461,aâ
462,40
463,rt
464,friday
465,start
466,#horror
467,weekend
468,@â
469,41
470,rt
471,next
472,week's
473,moonbyul's
474,studio
475,moon
476,night
477,monday
478,wjsn
479,soobin
480,dayoung
481,yeonjung
482,luda
483,exy
484,wednesday
485,g
486,sâ
487,42
488,rt
489,like
490,tweet
491,100
492,winner
493,choose
494,70
495,minute
496,start
497,stream
498,stream
499,start
500,9:00
501,pm
502,est
503,happy
504,friday
505,43
506,rt
507,good
508,morning
509,today
510,good
511,friday
512,thank
513,jesus
514,love
515,sacrifice
516,44
517,interesting
518,tweet
519,bishop
520,good
521,friday
522,45
523,word
524,catholic
525,churchâ
526,œno
527,meat
528,friday
529,“
530,fish
531,onlyâ
532,rule
533,work
534,italian
535,fishingâ
536,46
537,rt
538,friday
539,cash
540,app
541,250
542,47
543,sad
544,good
545,friday
546,one
547,capital
548,police
549,man
550,job
551,lose
552,life
553,andâ
554,48
555,rt
556,#jujutsukaisen
557,friday
558,49
559,know
560,good
561,friday
562,service
563,online
564,use
565,wine
566,ig
567,iâ
568,use
569,taste
570,lmao
571,50
572,rt
573,bandcamp
574,friday
575,51
576,fbfhdudiduud
577,good
578,friday
579,school
580,anything
581,52
582,rt
583,bandcamp
584,friday
585,donâ
586,anything
587,new
588,hereâ
589,shameless
590,plug
591,53
592,final
593,fantasy
594,friday
595,live
596,come
597,hang
598,start
599,disc
600,54
601,rt
602,happy
603,friday
604,°
605,š
606,“
607,¹
608,baby
609,lovers
610,facebook
611,55
612,rt
613,happy
614,good
615,friday
616,hereâ
617,yearly
618,reminder
619,still
620,need
621,every
622,good
623,friday
624,release
625,every
626,streaming
627,platformâ
628,56
629,rt
630,happy
631,friday
632,la
633,please
634,play
635,#dynamite
636,#tdytop8at8
637,celebrate
638,https:/â€¦
639,57
640,tune
641,one-hour
642,good
643,friday
644,service
645,#goodfriday
646,58
647,rt
648,friday
649,hope
650,lose
651,death
652,seem
653,win
654,judas
655,betray
656,best
657,friend
658,deny
659,mothâ
660,59
661,rt
662,aye
663,bro
664,tryna
665,see
666,citizen
667,kane
668,friday
669,nah
670,bro
671,can't
672,get
673,draft
674,60
675,rt
676,good
677,friday
678,gracelife
679,heavy
680,police
681,presence
682,church
683,property
684,grotesque
685,61
686,rt
687,âœ
688,friday
689,skin
690,care
691,day
692,âœ
693,#blackroseselcaday
694,#brsd
695,#therosesound
696,#therose
697,62
698,actually
699,get
700,watch
701,#thefalconandthewintersoldier
702,friday
703,’
704,63
705,rt
706,batch
707,15
708,wip
709,already
710,pre-claimed
711,pre-claims
712,available
713,patreon
714,sugar-addictâ
715,64
716,rt
717,drop
718,ur
719,fkkn
720,handle
721,4a
722,fkkn
723,friday
724,boost
725,bitch
726,†
727,65
728,rt
729,good
730,friday
731,liturgy
732,room
733,happenedâ
734,„
735,¢
736,66
737,rt
738,friday
739,mood
740,67
741,rt
742,good
743,friday
744,remember
745,death
746,penalty
747,jesus
748,might
749,still
750,around
751,68
752,rt
753,firepower
754,fridayğÿ
755,’
756,join
757,soldier
758,virtual
759,training
760,area
761,fire
762,javelin
763,medium
764,range
765,anti
766,armour
767,weapon
768,donâ
769,fâ
770,69
771,rt
772,friday
773,avoid
774,booking
775,beloved
776,70
777,rt
778,hey
779,bandcamp
780,friday
781,againâ
782,-0.02
783,right
784,would
785,super
786,super
787,appreciate
788,even
789,one
790,album
791,sale
792,don'tâ
793,71
794,friday
795,night
796,funkin
797,corruption
798,72
799,rt
800,man
801,responsible
802,deadly
803,good
804,friday
805,capitol
806,hill
807,attack
808,devout
809,follower
810,louis
811,farrakhan
812,black
813,natiâ
814,73
815,rt
816,friday
817,night
818,sushi
819,jelly
820,bean
821,prosecco
822,get
823,good
824,74
825,start
826,roygbiv
827,assign
828,color
829,base
830,personality
831,iâ
832,sorry
833,iâ
834,interested
835,thisâ
836,75
837,johnny's
838,friday
839,even
840,kip
841,76
842,rt
843,happy
844,fridayğÿœ
845,±
846,77
847,rt
848,friday
849,night
850,raffle
851,follow
852,author
853,retweet
854,6pm
855,4/3
856,chance
857,win
858,#sputniksguidetolifeoneâ
859,78
860,rt
861,take
862,10
863,minute
864,remember
865,good
866,friday
867,easter
868,story
869,jesus
870,trial
871,dying
872,cross
873,amazing
874,hapâ
875,79
876,rt
877,meet
878,opheliağÿœ
879,‡
880,adoptable
881,friday
882,4/9
883,6pm
884,est
885,read
886,story
887,80
888,rt
889,good
890,friday
891,remember
892,death
893,penalty
894,jesus
895,might
896,still
897,around
898,81
899,rt
900,flat
901,fuck
902,friday
903,82
904,rt
905,happy
906,friday
907,everyone
908,sex
909,trafficking
910,try
911,pay
912,prostitute
913,apple
914,pay
915,show
916,picturesâ
917,83
918,happy
919,friday
920,84
921,life
922,literally
923,great
924,great
925,sex
926,amazing
927,friends
928,loving
929,family
930,working
931,hard
932,else
933,could
934,ask
935,°
936,happy
937,friday
938,85
939,california
940,friday
941,issue
942,new
943,guideline
944,allow
945,resumption
946,attendance
947,indoor
948,concert
949,sport
950,eveâ
951,86
952,rt
953,friday
954,feel
955,like
956,fun
957,wish
958,party
959,yâ
960,87
961,œwe
962,wait
963,three
964,day
965,thatâ
966,long
967,jesus
968,want
969,us
970,wait
971,thatâ
972,also
973,invent
974,high
975,fiveâ
976,bâ
977,88
978,rt
979,doubt
980,noah
981,green
982,aka
983,noah
984,x
985,radicalize
986,today's
987,date
988,good
989,friday
990,several
991,clue
992,iâ
993,89
994,rt
995,jersey
996,giveaway
997,hit
998,1k
999,follower
1000,iâ
1001,go
1002,give
1003,away
1004,new
1005,jordan
1006,clarkson
1007,jersey
1008,guy
1009,yâ
1010,90
1011,friday
1012,vibez
1013,91
1014,rt
1015,guy
1016,couldnâ
1017,tune
1018,thatâ
1019,alright
1020,weâ
1021,back
1022,next
1023,friday
1024,5pm
1025,edt
1026,92
1027,took
1028,try
1029,get
1030,one
1031,finally
1032,good
1033,friday
1034,jesus
1035,die
1036,grace
1037,save
1038,93
1039,rt
1040,today
1041,saturdayest
1042,friday
1043,iâ
1044,experience
1045,94
1046,rt
1047,friday
1048,night
1049,raffle
1050,follow
1051,author
1052,retweet
1053,6pm
1054,4/3
1055,chance
1056,win
1057,#katgreenecomesclean
1058,§
1059,¡
1060,§
1061,¹
1062,§
1063,¡
1064,§
1065,¹
1066,§
1067,¡
1068,95
1069,rt
1070,take
1071,georgia
1072,entire
1073,existence
1074,legislation
1075,question
1076,premise
1077,pernicious
1078,lie
1079,pretty
1080,much
1081,everyoâ
1082,96
1083,rt
1084,œperhapsâ
1085,perhaps
1086,perhaps
1087,perhaps
1088,delete
1089,tweet
1090,bring
1091,peep
1092,tail
1093,câ
1094,97
1095,rt
1096,machine
1097,learn
1098,skill
1099,need
1100,cloud
1101,#machinelearning
1102,#datascience
1103,#python
1104,#ai
1105,#100dayâ
1106,98
1107,rt
1108,flat
1109,fuck
1110,friday
1111,99
1112,rt
1113,friday
1114,fit
1115,100
1116,rt
1117,episode
1118,28
1119,live
1120,streaming
1121,tomorrow
1122,friday
1123,6pm
1124,uk
1125,time
1126,skeg
1127,vegas
1128,wrestling
1129,youtube
1130,channeâ
1131,101
1132,rt
1133,north
1134,adams
1135,mass
1136,capitol
1137,police
1138,officer
1139,kill
1140,friday
1141,grow
1142,northern
1143,berkshire
1144,county
1145,graduate
1146,froâ
1147,102
1148,rt
1149,happy
1150,friday
1151,old
1152,sport
1153,103
1154,rt
1155,love
1156,friday
1157,shoutouts
1158,104
1159,man
1160,die
1161,friday
1162,attack
1163,barricade
1164,around
1165,us
1166,capitol
1167,identify
1168,25
1169,year
1170,old
1171,noahâ
1172,105
1173,rt
1174,beautiful
1175,friday
1176,today
1177,important
1178,day
1179,world
1180,good
1181,friday
1182,jesus
1183,die
1184,today
1185,villain
1186,death
1187,soâ
1188,106
1189,rt
1190,happy
1191,good
1192,friday
1193,hereâ
1194,yearly
1195,reminder
1196,still
1197,need
1198,every
1199,good
1200,friday
1201,release
1202,every
1203,streaming
1204,platformâ
1205,107
1206,rt
1207,name
1208,good
1209,friday
1210,spoken
1211,european
1212,language
1213,there's
1214,lot
1215,variety
1216,i've
1217,far
1218,find
1219,four
1220,common
1221,adjectiâ
1222,108
1223,rt
1224,#climatestrikeonline
1225,#digitalstrike
1226,#fridaysforfuture
1227,today
1228,would
1229,really
1230,good
1231,friday
1232,false
1233,promise
1234,cleâ
1235,109
1236,rt
1237,great
1238,friday
1239,service
1240,begin
1241,hour
