,monday_tweets,friday_tweets,april_tweets
0,Every Monday I open my Sling app to watch Raw and FX is either airing Winter Soldier or MI: Fallout,RT @AngelaC51335397: Happy Jelly belly Friday dear friends. We hope you have a wonderful day full of love and happiness ❤You are amazing an…,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
1,happy monday y'all! | PS5 | !socials !discord !avatar !lurk https://t.co/qzAyyegHqm,RT @Timodc: My take on Georgia. The entire existence of the legislation in question is premised on a pernicious lie. And pretty much everyo…,"RT @gangbadoy: I need information on HOME CARE for covid positive with asthma patient, MALE/43 ---- pls send me leads here on this thread.…"
2,"RT @FOX5Vegas: NLVPD Officer Alexander Cuevas said the crash happened around 10:40 a.m. Monday at W. Carey Avenue and N. MLK Boulevard. 
ht…","RT @fakeshoredrive: Happy GOOD Friday

Here’s your yearly reminder that we still need every GOOD Friday release on every streaming platform…",@studiowalters Is this an April fools?
3,"RT @CrabDay: 🦀 Monday, March 29th, 2021 🦀

📸: @Jimothy_W https://t.co/BWRqGCYCZu","RT @SB19Official: 🎉#SB19WhatMV7Million

Big shoutout to all of the people who keep on sharing our music with the world. We hope you're also…",RT @WORLDMUSICAWARD: #SuperJunior’s #Kyuhyun Shares Teasers For His Much Awaited New Song #Coffee out April 13 at 6 p.m. KST!👨‍🎤📸☕️💥1️⃣3️⃣🕕…
4,@TMorri_12 @WashedUpJustin_ Tony get your fellow milk brethren together. It’s just Monday lol,"RT @StarrRinko: @Jan4Jesus45
@digi11111
@BustersBrew
@Bree1914
@Shannonlovesusa
@BuckBond4
@Jacfam2
@StarrRinko
@arielangel1063
@MichelleMa…","RT @DistNightPal: Entries for Distance Night 2021 will open on Monday, April 5 and run until Saturday night, May 1. Info coming soon. Who i…"
5,"RT @SweetTaleBooks: Have a wonderful Monday!
~~~~~
All books under $3 https://t.co/rwMgD6Lywz   #Sweet #CleanReads #FeaturedBooks 
~~~~~
Mo…","SAINT JOHN - It wasn't the best Friday for the Saint John Sea Dogs but it was... a Good Friday.

My column:","April Fools Day! Do you know how, why, and when this day came about? Check it out 👇
https://t.co/SIWMLv0eLC"
6,"RT @jilevin: 911 dispatcher testifies officers pinned down George Floyd for so long she thought her video feed had frozen: ""My instincts we…","RT @DustinBenge: Good Friday is not a day of despair!

The blood of Jesus is the believers:

Redemption (Eph 1:7),
Propitiation (Rom 3:25),…",RT @coughdrops: its april https://t.co/vfSWAPGkpD
7,"RT @KBSWorldTV: [KPOP NEWS] BTS to Star in Special Talk Show to Air on KBS Monday Night 

🌟Check out the #KPOP news for today through the l…",RT @NejireeKun: I miss Fire Force and now Jujutsu Kaisen Friday’s 😔 https://t.co/vGBve6TSqV,"RT @FloGrappling: AOJ vs. 10th Planet - two prodigies and WNO vets face off. Who do you think takes it for their team? 🤔

April 30, WNO | J…"
8,RT @foosgonewild: MONDAY MOTIVATION https://t.co/1zwrcLtWLM,RT @mad_breadloaf: Ain’t it a Good Friday? https://t.co/IVInCZccm8,RT @CalmDeion: April is a month of bloom.
9,"RT @WilliamYang120: Thousands of #Myanmar protesters took to the street again on Monday, as the military killed 14 civilians following a ne…","RT @osynthesia: Happy Dot Friday everybody!
#animaniacs #yakko #yakkowarner #wakko #wakkowarner #dot #dotwarner #zanytwt https://t.co/aLnDM…","RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
10,"RT @skzinbbl: [210330 0:41-42 i.n bubble]

: y/n hi
: did you listen to MIROH for your monday?

: very good

#StrayKids #I_N",Every Friday I look forward to seeing the new @TrashTastePod episode (:,RT @boodlebrain: It’s April 2021 which means my dad has been carrying this drawing of Chibi Usa I made in his wallet for twenty years strai…
11,WILD NATION!! The time is coming! The Wenatchee Wild Hockey Booster Club (WWHBC) will begin accepting applications… https://t.co/vzQRHyHUG0,Sami Zayn brings Logan Paul to his Red Carpet Premiere this Friday https://t.co/WFSn4TXRXS via @wwe,"RT @bredrinruben: Just had sex 🥳

April fools"
12,"It’s All About Relationship Series | Helping Children Succeed | 7 PM | Monday, March 29, 2021 https://t.co/lXrZoT3hsj","RT @GovAndyBeshear: On Friday, Gov. Beshear reported 690 new #COVID19 cases and a positivity rate of 3.08%. The Governor also announced 1.4…","@marthertz Yes, eventually that will happen on an April 30th...when you are even older than that"
13,RT @wolftummy: happy Fat Mae Monday :P https://t.co/c0pYos3FE4,RT @EternalDago: Pontius Pilate on the first Good Friday:,RT @SinnamonLove: Did you know I was the first Black model with a solo model member website? Did you know I co-owned a webcam company back…
14,https://t.co/9iNbjXjAwp is LIVE with Rumor Mill Monday! We are sending a message to all the streamers as we play Th… https://t.co/kBA2gj1HiV,"oh, you attend a university where you can be out without consequences from the institution itself? well i attend a… https://t.co/gMGmZmS2sG","RT @Wordesse: I lost 36 pounds, just by increasing my water intake. 

Oh sorry, 0.36 pounds. Ha ha..er, April fool."
15,"RT @SweetTaleBooks: 'Howdy, from the Heart': Jail and bail were the last things on her to-do list for the day.
~~~~~
https://t.co/f0GlTvTGe…",RT @AsmLuzRivas: My office has received numerous calls from residents concerning the accumulation of trash on the 210 Freeway Hubbard Stree…,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
16,"RT @yujujk: GRWM was there since 2017 and candidate with fever. monday blues, shy boy was potential debut song. love oh love candidate with…",RT @DangeRussWilson: GOOD FRIDAY!!!,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
17,Get you a friend that invited you to Bingo on a Monday night because she knows you’ve been stressed af 🙌🥰,Happy Good Friday and Long weekend 😊 https://t.co/Zr7qvBSGcf,may april bring the peace of mind i am constantly chasing.
18,Nothing like being told on Monday afternoon that your son’s father will be here THURSDAY. Oh and he bought your dream car out of spite 🙄,The weekend is here and we're in for a relaxing Friday nigth! Come chill with some Stardew Valley! Might switch to… https://t.co/PPlMyXEwP0,"RT @triniricanbruja: ✨Mini April Predictions💐

♎︎: reaping the benefits.
♏︎: use your voice.
♐︎: reignite your flame.
♑︎: you know what to…"
19,RT @WeatherNation: **BREAKING NEWS** The #KeystoneFire has shut down @MountRushmoreNM in southwestern South Dakota on Monday afternoon. #sd…,"Let the Count Down Begin. Since it's good Friday, wanted to give everyone a special treat.

New pod dropping at 8:3… https://t.co/Hkph37kKTQ",I forgot it was April fools day lol
20,"RT @BrantlyWx: 😳 Wow. Rip currents can be seen all over Pensacola Beach in this aerial view Monday morning.

🌊 Over the weekend, 93 people…",It's Friday night so there are no rules.,RT @arden_katherine: Local grocery put eyes on all their produce for April fools and how am I supposed to chop them up and eat them now htt…
21,RT @horse_feedbag: Mutual Monday I am going to beat you all to death with a big rock,GIVEAWAY FRIDAY!  502/500 FOLLOWERS! #TWITCHPARTNERGRIND https://t.co/NqZjEVPxeq,@1980SVAUGHN april of fools happy
22,RT @diarrasylla: Cuz it’s Monday 🧡 https://t.co/JxF5NWKUdu,RT @JohnFugelsang: This Good Friday remember that if there was no Death Penalty Jesus might still be around.,"RT @Serotoninnt: By the way, since its april fools and all, people might try to make you click on some link. Of course it'll probably be a…"
23,"RT @DNPthree: Like this tweets for $100 - winner chosen in 60 minutes at start of stream.

Tonight we’re doing giveaways and one lucky view…","RT @Mike_Pence: This Good Friday, @KarenPence &amp; I join Christians everywhere remembering the sacrifice our Lord and Savior Jesus Christ mad…",Why did she post her April Fools joke a day early?... https://t.co/5ku5YVmnGR
24,"RT @19thnews: Discrimination against trans kids is “against the law,” White House official @rwgreer told an @ACLU panel on Monday.

His com…","Johnny B's Punk Rock Kitchen Disco #296
Friday Fall Out No.43

This track is genius. Kind of Eastery too, eh?… https://t.co/fbMuNs92vC","RT @Trailblaze2top: Update April 1st, 2021 https://t.co/IAkryJWTZx"
25,"RT @BRWC_VA: Practice 3/29 - 4/4

Monday 3/29- Folkstyle (all ages) 6-7:30pm

Tuesday 3/30- Freestyle 6:30-8pm

Wednesday 3/31- Folkstyle (…",RT @RecruiterGuy81: Thank you for your #RETWEET @careeria_app! It is Springtime and companies are hiring! #Executives @AARP @IncMagazine @a…,"RT @jaylandglobal: [D-3] Whosfan: 4th week of April ""Who will be celebrated at Times Square on their birthday?""

Vote For #Jay
📎 https://t.…"
26,RT @alyssaellinv: productive monday 🤍 https://t.co/Vqsj5TWAOI,@mboorstein @gehringdc No Mass is celebrated on Good Friday....,"RT @agorapovic: sykkuno’s ideas on april fools jokes:
- the waterbill’s been paid for
- people are into me https://t.co/uWKLi0qjSs"
27,"RT @CTVNewsNorthern: Public Health Sudbury &amp; Districts reported 19 new COVID-19 cases Monday, all in Greater Sudbury.
https://t.co/RuHJhVpo…","A Good Friday indeed with these sweet buns! 💙💗#BrighamCade #EvelynMonroe #FutureBFGF #FingersCrossed @ Longview, Te… https://t.co/CfeP8GGqwW",The April Fool’s joke my guy played on me today 😩😩 like.... sir. Grow up pls
28,@DNPthree Happy Monday good luck,Would be nice to get a G.O.O.D Friday track today.,RT @ummleahh: it’s April but the only fool is me
29,RT @nytimes: Breaking News: New York must immediately begin to offer Covid vaccines to all incarcerated people in the state’s prisons and j…,RT @CynthiaSchwind: 🎉🎉Friday Night Raffle 🎉🎉Follow author @barbaraoconnor &amp; retweet by 6pm 4/3 for a chance to win #Wish 💜🌟💜🌟💜🌟💜🌟💜🌟💜🌟💜🌟💜🌟💜🌟…,happy april fools day ! 🤭 https://t.co/kKSgQWobOK
30,@Duoachievement It's not like it was a surprise???? Just last night they tweeted out how it will be open to the pub… https://t.co/SnHUkk97YL,"RT @david8hughes: Judas: still on for Friday?
Jesus: Friday?
Judas: yeah, the last supper
Jesus: the what?
Judas: supper. Normal supper wit…",RT @notdez2: I am the april’s fool
31,"RT @Jerusalem_Post: 🩸 Athletic shoe maker #Nike on Monday sued a New York-based company that produced ""Satan Shoes"" purported to contain a…",Happy Good Friday yalll,"RT @cjwerleman: Update: new incident.

1 April: Two Muslim men attacked with iron rods by Hindutva mob in Karnataka. 

https://t.co/h1WGuRm…"
32,RT @therealfredo: Andrade said he asked for his release on a Monday and later tested postive for COVID-19 at the same time as Charlotte.…,Who has two thumbs and tried to go to the post office on GOOD FRIDAY?,I hate pranks and I hate April Fool's Day.
33,@Deborahdragnfly @Tanja26961685 @i_maltos @BFallacies @Daydreams1812 @MissEdmonds10 @carolgapsky2 @CClynn31390 Good… https://t.co/ihFlZjhgCb,RT @JulesiTango: @an_leavy Nurses in Aged Care now not being vaccinated by Fed govt and told to get in line at their GP clinic with everyon…,"RT @ProjectLincoln: On this April Fools Day, let’s remember what a joke the GOP has become."
34,"RT @AUGUSTBABY1987: Sunday dinner on a Monday ....garlic mash potatoes, collard green w pork necks and fried chicken",Was all excited for beers ...but switching to lay low mode...I can use the break .....hope Friday nights is good to all ....TGIF,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
35,@SugarSkullTea Sounds like my Monday nights,"RT @_Guizzz_: as it's Friday , the day of spaceships , let's have another one.. And a special one because the idea basically went straight…",RT @squidgerydee: In case anyone was wondering it’s not actually a crypto and is an ill-timed April fools joke and likes and shares are don…
36,"RT @_PapiAce: I met this one girl on Monday, we talked all day and and the next and she wanted pizza from Chicago so that weekend I flew us…","RT @EWTNews: 📹HIGHLIGHTS | Pope Francis led the Way of the Cross, featuring meditations prepared by children, in St. Peter's Square on Good…",RT @Twitter: a thread of funny april fools' jokes:
37,"RT @_PapiAce: I met this one girl on Monday, we talked all day and and the next and she wanted pizza from Chicago so that weekend I flew us…",spending this Friday evening thinking about how ronan went to the barns to dream so that he wouldn’t dream bees nea… https://t.co/2TsyfjepoR,RT @onepiecescreens: April 1st means it's Usopp's birthday 🥳 https://t.co/ECeIds4J7A
38,Yessir. I hope your Monday was great! https://t.co/1uNBxShwOq,"RT @gaitanalyst: Happy Good Friday, friends. Jesus died for us.",I totally forgot it was April fools
39,RT @bobpockrass: NASCAR Executive VP Steve O’Donnell gives his assessment of the Bristol dirt weekend and the races Monday: https://t.co/Ie…,"RT @CoachHughFreeze: When I look at how Jesus tolerated those who threw insults and inflicted pain on this Good Friday, My hurts, grudges a…",RT @bluestein: Base problems: The Cobb GOP sent an email out to members today saying Republican Brad Raffensperger was going to headline th…
40,"@DNPthree Thank U!  🍀🍀🍀🍀
Happy Monday!","RT @cheshirevenom: Friday the start of any #Horror weekend 
@abhorrently_urs @NickWallaceV @tibbs_sandi @UnDyrk @UnfoldGames @VivikaWidow @…",we’re being april fooled i think
41,"RT @PSPCA: Another Monday, another sad photo of Maxx. On April 21, Maxx will have been in our care for ONE YEAR! Let's find him a home befo…","RT @lunaestrellad0s: On next week's Moonbyul's studio moon night

Monday - WJSN (Soobin, Dayoung, Yeonjung, Luda, EXY)

Wednesday - G.O.D S…","RT @NWS_MountHolly: Happy April Fools Day! 
We are forecasting balmy highs in the 280s across the region. Enjoy! 🥵
#PAwx #NJwx #MDwx #DEwx…"
42,RT @PrimatesDaily: Enjoy some monke flips on this fine Monke Monday :) https://t.co/AkPuTKt9Mz,"RT @DNPthree: Like this tweet for $100 - winner chosen in 70 minutes at start of stream.

Stream starts at 9:00PM EST. 

Happy Friday","RT @Anime: When you realized you’ve been fooled. Happy April fools! 😂

[Attack on Titan] https://t.co/qcXyreZto0"
43,"RT @jniml209: Happy Monday 😸♥️
| 210326 |
#JOHNNY #쟈니         
#ジャニー #จอห์นนี่ 
#JOHFAM #NCT https://t.co/iDVFUKQYWy",RT @jordanaalyssa: Good Morning. Today is Good Friday. Thank you Jesus for your love and your sacrifice.,"RT @coconutverbena: They released some photos of Jaebeom from The Star April 2021 🤩 

@JAYBDEF___ https://t.co/YksJLIO5Bw"
44,"(USE 🎧 if you want to 😉)
Motivation Monday: Practice things you can apply to your playing in a musical context. 

F… https://t.co/zs8UDAXjE4",@AnnaGreenwoodL1 Interesting tweets from a Bishop on Good Friday?,"Roy Leaving 
Dodgers losing Opening Day
Lakers are trash
What a way to start April :( https://t.co/vCMQYyII7F"
45,RT @BNCNews: Starting Monday April 5th - BNC welcomes Black News Tonight with Marc Lamont Hill to our NEW Prime Time Cable News Line Up - W…,@JakeRocksOff Word. The Catholic Church’s “No meat on Friday – Fish only” rule was the work of the Italian fishing… https://t.co/DjkAIJkZfI,"RT @LetsGetHaunted: Ghosts aren’t real. 

April Fool’s, bitch."
46,RT @therealfredo: Andrade said he asked for his release on a Monday and later tested postive for COVID-19 at the same time as Charlotte.…,RT @LoveMedical95: It’s friday cash app her $250 just because,"RT @NESTbycardinal: Absolute crazy month for our members. We have managed to secure over $250,000 in profits with sneakers, cards, consoles…"
47,"RT @SharksNSports: #MYFAVMONDAY 

#NBA :

CHI +2 1u @SharksNSports 
SAS -2.5 1u @JayMoneyIsMoney 

Monday's are for Momentum.

Ride the Wav…","@Askyomomma1 It’s just sad on good Friday, and one capital police man just doing his job had to lose his life, And… https://t.co/WOPxZoFZdn","RT @archive_Jaebeom: The Star magazine, April 2021

https://t.co/0CfPbQZwXD

#JAYB @JAYBDEF___ https://t.co/gqMuSrbZNr"
48,RT @x_Virgo_Vixen_x: 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨THE GEORGE FLOYD TRIAL BEGINS MONDAY!! THE GEORGE FLOYD TRIAL BEGINS MONDAY!! THE GEORGE FLOYD TRIAL…,RT @taffypointby: #JujutsuKaisen friday https://t.co/hwbHpGAjoX,RT @GalaxyPeaBrain: It's April. Women's history is no more. Those chains cannot hold us any more brothers https://t.co/PcAdvgB5OC
49,RT @BlondieforTrump: 💥💥 MONDAY NIGHT PATRIOT FOLLOW! 💥💥,@wenotouthere i knew that but we did the good friday service online so we just used our own wine and ig i’m just not used to the taste lmao,"RT @Finalizer14: they're still arguing
Happy April Fools everyone, and thanks for 7K followers!
#Metroid35 #Samus #Nintendo #Blender3d http…"
