,0
0,monday_tweets
1,friday_tweets
2,april_tweets
3,every
4,monday
5,open
6,sling
7,app
8,watch
9,raw
10,fx
11,either
12,air
13,winter
14,soldier
15,mi
16,fallout
17,rt
18,happy
19,jelly
20,belly
21,friday
22,dear
23,friend
24,hope
25,wonderful
26,day
27,full
28,love
29,happiness
30,amaze
31,anâ
32,rt
33,april
34,foolâ
35,prank
36,ever
37,top
38,‚
39,happy
40,monday
41,y'all
42,ps5
43,social
44,discord
45,avatar
46,lurk
47,take
48,georgia
49,entire
50,existence
51,legislation
52,question
53,premise
54,pernicious
55,lie
56,pretty
57,much
58,everyoâ
59,rt
60,need
61,information
62,home
63,care
64,covid
65,positive
66,asthma
67,patient
68,male
69,43
70,pls
71,send
72,lead
73,thread
74,rt
75,nlvpd
76,officer
77,alexander
78,cuevas
79,say
80,crash
81,happen
82,around
83,10:40
84,monday
85,w
86,carey
87,avenue
88,n
89,mlk
90,boulevard
91,htâ
92,rt
93,happy
94,good
95,friday
96,hereâ
97,yearly
98,reminder
99,still
100,need
101,every
102,good
103,friday
104,release
105,every
106,streaming
107,platformâ
108,april
109,fool
110,rt
111,monday
112,march
113,29th
114,2021
115,“
116,""",""rt"
117,#sb19whatmv7million
118,big
119,shoutout
120,people
121,keep
122,share
123,music
124,world
125,hope
126,alsoâ
127,rt
128,#superjuniorâ
129,#kyuhyun
130,shares
131,teasers
132,much
133,awaited
134,new
135,song
136,#coffee
137,april
138,13
139,p
140,kst
141,‘
142,“
143,•
144,’
145,1ï
146,âƒ
147,£
148,3ï
149,âƒ
150,£
151,•
152,•
153,tony
154,get
155,fellow
156,milk
157,brethren
158,together
159,monday
160,lol
161,rt
162,rt
163,entries
164,distance
165,night
166,2021
167,open
168,monday
169,april
170,run
171,saturday
172,night
173,may
174,info
175,come
176,soon
177,iâ
178,rt
179,wonderful
180,monday
181,book
182,#sweet
183,#cleanreads
184,#featuredbooks
185,moâ
186,saint
187,john
188,best
189,friday
190,saint
191,john
192,sea
193,dogs
194,good
195,friday
196,column
197,april
198,fools
199,day
200,know
201,day
202,come
203,check
204,‘
205,‡
206,rt
207,911
208,dispatcher
209,testifies
210,officer
211,pin
212,george
213,floyd
214,long
215,think
216,video
217,feed
218,freeze
219,instincts
220,weâ
221,rt
222,good
223,friday
224,day
225,despair
226,blood
227,jesus
228,believer
229,redemption
230,eph
231,1:7
232,propitiation
233,rom
234,3:25
235,rt
236,april
237,rt
238,kpop
239,news
240,bts
241,star
242,special
243,talk
244,show
245,air
246,kbs
247,monday
248,night
249,ğÿœÿcheck
250,theâ
251,#kpopâ
252,news
253,today
254,lâ
255,rt
256,miss
257,fire
258,force
259,jujutsu
260,kaisen
261,fridayâ
262,"""rt"
263,aoj
264,v
265,10th
266,planet
267,two
268,prodigy
269,wno
270,vet
271,face
272,think
273,take
274,team
275,april
276,30
277,wno
278,jâ
279,rt
280,monday
281,motivation
282,ainâ
283,good
284,friday
285,april
286,month
287,bloom
288,rt
289,thousands
290,#myanmar
291,protester
292,take
293,street
294,monday
295,military
296,kill
297,14
298,civilian
299,follow
300,neâ
301,rt
302,happy
303,dot
304,friday
305,everybody
306,#animaniacs
307,#yakko
308,#yakkowarner
309,#wakko
310,#wakkowarner
311,#dot
312,#dotwarner
313,#zanytwt
314,"â€¦"",""rt"
315,wasnâ
316,good
317,dog
318,today
319,april
320,fool
321,good
322,10
323,rt
324,210330
325,0:41-
326,42
327,n
328,bubble
329,n
330,hi
331,listen
332,miroh
333,monday
334,good
335,#straykids
336,#i_n
337,every
338,friday
339,look
340,forward
341,see
342,new
343,episode
344,(:
345,rt
346,april
347,2021
348,mean
349,dad
350,carry
351,drawing
352,chibi
353,usa
354,make
355,wallet
356,twenty
357,year
358,straiâ
359,11
360,wild
361,nation
362,time
363,come
364,wenatchee
365,wild
366,hockey
367,booster
368,club
369,wwhbc
370,begin
371,accept
372,applicationsâ
373,zayn
374,bring
375,logan
376,paul
377,red
378,carpet
379,premiere
380,friday
381,via
382,rt
383,sex
384,³
385,april
386,fool
387,12
388,relationship
389,series
390,helping
391,children
392,succeed
393,pm
394,monday
395,march
396,29
397,2021
398,""",""rt"
399,friday
400,gov
401,beshear
402,report
403,690
404,new
405,#covid19
406,case
407,positivity
408,rate
409,3.08
410,governor
411,also
412,announce
413,1.4
414,yes
415,eventually
416,happen
417,april
418,30th
419,even
420,old
421,13
422,rt
423,happy
424,fat
425,mae
426,monday
427,:p
428,pontius
429,pilate
430,first
431,good
432,friday
433,rt
434,know
435,first
436,black
437,model
438,solo
439,model
440,member
441,website
442,know
443,co-owned
444,webcam
445,company
446,backâ
447,14
448,live
449,rumor
450,mill
451,monday
452,send
453,message
454,streamer
455,play
456,thâ
457,"""oh"
458,attend
459,university
460,without
461,consequence
462,institution
463,well
464,attend
465,aâ
466,""",""rt"
467,lose
468,36
469,pound
470,increase
471,water
472,intake
473,oh
474,sorry
475,0.36
476,pound
477,ha
478,ha
479,..
480,er
481,april
482,fool
483,15
484,rt
485,howdy
486,heart
487,jail
488,bail
489,last
490,thing
491,to-do
492,list
493,day
494,"â€¦"",rt"
495,office
496,receive
497,numerous
498,call
499,resident
500,concern
501,accumulation
502,trash
503,210
504,freeway
505,hubbard
506,streeâ
507,rt
508,april
509,foolâ
510,prank
511,ever
512,top
513,‚
514,16
515,rt
516,grwm
517,since
518,2017
519,candidate
520,fever
521,monday
522,blue
523,shy
524,boy
525,potential
526,debut
527,song
528,love
529,oh
530,love
531,candidate
532,withâ
533,rt
534,good
535,friday
536,rt
537,really
538,ainâ
539,see
540,april
541,fool
542,jokesğÿ
543,‚
544,‚
545,‚
546,mf
547,dead
548,serious
549,shit
550,funny
551,year
552,‚
553,‚
554,‚
555,‚
556,‚
557,‚
558,‚
559,‚
560,‚
561,‚
562,‚
563,‚
564,‚
565,‚
566,‚
567,‚
568,‚
569,‚
570,‚
571,‚
572,‚
573,‚
574,‚
575,‚
576,17
577,get
578,friend
579,invite
580,bingo
581,monday
582,night
583,know
584,youâ
585,stress
586,af
587,œğÿ
588,°
589,happy
590,good
591,friday
592,long
593,weekend
594,š
595,april
596,bring
597,peace
598,mind
599,constantly
600,chase
601,18
602,nothing
603,like
604,tell
605,monday
606,afternoon
607,sonâ
608,father
609,thursday
610,oh
611,buy
612,dream
613,car
614,spite
615,„
616,weekend
617,we're
618,relaxing
619,friday
620,nigth
621,come
622,chill
623,stardew
624,valley
625,might
626,switch
627,toâ
628,"""rt"
629,âœ
630,mini
631,april
632,predictionsğÿ
633,’
634,reap
635,benefit
636,use
637,voice
638,reignite
639,flame
640,‘
641,know
642,toâ
643,19
644,rt
645,breaking
646,news
647,#keystonefire
648,shut
649,southwestern
650,south
651,dakota
652,monday
653,afternoon
654,#sdâ
655,let
656,count
657,begin
658,since
659,good
660,friday
661,want
662,give
663,everyone
664,special
665,treat
666,new
667,pod
668,drop
669,8:
670,3â
671,""",i"
672,forget
673,april
674,fool
675,day
676,lol
677,20
678,rt
679,³
680,wow
681,rip
682,current
683,see
684,pensacola
685,beach
686,aerial
687,view
688,monday
689,morning
690,ğÿœš
691,weekend
692,93
693,peopleâ
694,friday
695,night
696,rule
697,rt
698,local
699,grocery
700,put
701,eye
702,produce
703,april
704,fool
705,suppose
706,chop
707,eat
708,httâ
709,21
710,rt
711,mutual
712,monday
713,go
714,beat
715,death
716,big
717,rock
718,giveaway
719,friday
720,502/500
721,followers
722,#twitchpartnergrind
723,april
724,fool
725,happy
726,22
727,rt
728,cuz
729,monday
730,§
731,¡
732,good
733,friday
734,remember
735,death
736,penalty
737,jesus
738,might
739,still
740,around
741,rt
742,way
743,since
744,april
745,fool
746,people
747,might
748,try
749,make
750,click
751,link
752,course
753,it'll
754,probably
755,aâ
756,23
757,rt
758,like
759,tweet
760,100
761,winner
762,choose
763,60
764,minute
765,start
766,stream
767,tonight
768,weâ
769,giveaway
770,one
771,lucky
772,viewâ
773,rt
774,good
775,friday
776,join
777,christians
778,everywhere
779,remember
780,sacrifice
781,lord
782,savior
783,jesus
784,christ
785,madâ
786,post
787,april
788,fools
789,joke
790,day
791,early
792,24
793,rt
794,discrimination
795,trans
796,kid
797,œagainst
798,law
799,white
800,house
801,official
802,tell
803,panel
804,monday
805,comâ
806,johnny
807,b's
808,punk
809,rock
810,kitchen
811,disco
812,#296
813,friday
814,fall
815,43
816,track
817,genius
818,kind
819,eastery
820,eh
821,""",""rt"
822,update
823,april
824,1st
825,2021
826,25
827,rt
828,practice
829,3/29
830,4/4
831,monday
832,3/29-
833,folkstyle
834,age
835,6-7
836,30pm
837,tuesday
838,3/30-
839,freestyle
840,6:30-
841,8p
842,wednesday
843,3/31-
844,folkstyle
845,rt
846,thank
847,#retweet
848,springtime
849,company
850,hire
851,#executives
852,rt
853,whosfan
854,4th
855,week
856,april
857,celebrate
858,times
859,square
860,birthday
861,vote
862,#jay
863,“
864,â€¦
865,26
866,rt
867,productive
868,monday
869,mass
870,celebrate
871,good
872,friday
873,rt
874,sykkunoâ
875,idea
876,april
877,fool
878,joke
879,waterbillâ
880,pay
881,people
882,27
883,rt
884,public
885,health
886,sudbury
887,districts
888,report
889,19
890,new
891,covid
892,19
893,case
894,monday
895,greater
896,sudbury
897,"â€¦"",""a"
898,good
899,friday
900,indeed
901,sweet
902,bun
903,’
904,’
905,—
906,#brighamcade
907,#evelynmonroe
908,#futurebfgf
909,#fingerscrossed
910,longview
911,teâ
912,""",the"
913,april
914,foolâ
915,joke
916,guy
917,play
918,today
919,©
920,©
921,like
922,sir
923,grow
924,pls
925,28
926,happy
927,monday
928,good
929,luck
930,would
931,nice
932,get
933,g
934,friday
935,track
936,today
937,rt
938,april
939,fool
940,29
941,rt
942,breaking
943,news
944,new
945,york
946,must
947,immediately
948,begin
949,offer
950,covid
951,vaccine
952,incarcerate
953,people
954,stateâ
955,prison
956,jâ
957,rt
958,friday
959,night
960,raffle
961,follow
962,author
963,retweet
964,6pm
965,4/3
966,chance
967,win
968,#wish
969,’
